utc,et,E_broker,E_bid,E_adj,zone,mode
2026-08-14T05:59:37Z,2026-08-14 01:59,100.00,100.00,100.00,STANDARD,BOOT
2026-08-14T13:47:30Z,2026-08-14 09:47,100.00,100.00,100.00,STANDARD,FLAT
2026-08-14T14:40:00Z,2026-08-14 10:40,100.00,100.00,100.00,STANDARD,FLAT
2026-08-14T20:01:17Z,2026-08-14 16:01,100.00,100.00,100.00,STANDARD,FLAT
2026-08-17T20:10:00Z,2026-08-17 16:10,100.47,100.47,100.47,STANDARD,FLAT
2026-08-18T20:10:20Z,2026-08-18 16:10,99.09,99.09,99.09,PRESS,FLAT
2026-08-19T20:10:20Z,2026-08-19 16:10,102.22,102.22,102.22,PRESS,FLAT
2026-08-20T20:10:35Z,2026-08-20 16:10,100.20,100.20,100.20,PRESS,FLAT
2026-08-21T20:10:10Z,2026-08-21 16:10,102.20,102.20,102.20,PRESS,FLAT
2026-08-24T20:10:15Z,2026-08-24 16:10,101.41,101.41,101.41,PRESS,FLAT
2026-08-25T20:10:00Z,2026-08-25 16:10,101.29,101.29,101.29,PRESS,FLAT
2026-08-26T20:10:00Z,2026-08-26 16:10,99.91,99.91,99.91,PRESS,FLAT
2026-08-27T20:09:00Z,2026-08-27 16:09,99.91,99.91,99.91,PRESS,FLAT
